,Group,Work,Technology,Transducer Type,Supply(V),Lmin,Pitch(µm),LNA Architecture,Pitch Matched,Transducer Capacitance (pF),Continuous Time,TGC Modality,Max Gain(dB),Gain Range(dB),Gain Error(\pm dB),Gain Settings #,Gain Step (dB),Center Frequency (F0 MHz),-3dB BW (MHz),IRNC @ F0 (pA/\sqrt{Hz}),IRNV @ F0 (nV/\sqrt{Hz}),IRNA @ F0 (mPa/\sqrt{Hz}),PSRR @ F0(dBc),Peak SNR@BW(dB),Power Dissipation(mW),Area (mm^2),DOI,Notes,PaperID,Architecture Category,Area ($mm^2$),FoM$_{LNA}$ (dB)
0,EI-TUDelft,PGuoJSSC2022,180nm CMOS-BCD,BULK,1.8,180nm,100,CL-CA,Yes,1.0,Yes,Interpolating,102dB\Ohmega,36dB,0.4,,,10.0,17.5,1.31,,,26,48.0,0.8,0.025,https://doi.org/10.1109/JSSC.2022.3200160,,JSSC2022,CL-CA,0.025,61.39948061694351
1,EI-TUDelft,MTanJSSC2018,180nm HVCMOS,BULK,1.9,180nm,100,TIA,No,0.7,Yes,PGA,119dB\Ohmega,12,3.0,3,5.9,13.0,16.0,2.00,,,16,42.0,0.79,0.027,https://doi.org/10.1109/JSSC.2018.2828826,Originally observed effect of PSRR in inter-channel sub-array IRN,JSSC2018,TIA,0.027,55.06492891365483
2,MEDR/CICS-MIT/ButterflyIQ,KChenJSSC2015,180nm CMOS-BCD,CMUT,1.8,180nm,250,TIA,No,2.0,Yes,PGA,116dB\Ohmega,12,3.0,4,104/110/113.5/116,8.0,10.2,0.41,,,,40.0,1.4,0.028,https://doi.org/10.1109/JSSC.2015.2505714,Defines an Acoustic Noise Efficiency Factor (ANEF) accounting for acoustic noise,JSSC2015,TIA,0.028,48.624721360836794
3,EI-TUDelft,EKangJSSC2020,180nm CMOS-BCD,CMUT,1.8,180nm,400,CL-CA,No,15,Yes,Interpolating,107dB\Ohmega,37,1.0,,,5.0,7.1,1.7,,,,51.0,5.2,0.120,https://doi.org/10.1109/JSSC.2020.3023618,Establishes the basis of Pengs Work.,JSSC2020,CL-CA,0.12,52.35255005084276
4,KNIT-SK/SK Hynix,JYongUmTCSII2021,180nm CMOS,,1.8,180nm,,OL-VA,No,,Yes,VGA,37,37,1.40,,,2.0,3.1,,8.6,,,40.0,0.96,0.025,https://doi.org/10.1109/TCSII.2021.3090424,Uses a cross-coupled harmonic injection NMOS pair for negative Gm modulation of the voltage-gain.,TCSII2021,OL-VA,0.025,45.090904607947046
5,MEDep. ITU,ICicekTUFFC2005,800nm CMOS-BCD,CMUT,5.0,800nm,200,TIA,Yes,4.5,Yes,,23,23,,1,,2.5,11.0,,6.5,,,,2.0,0.040,https://doi.org/10.1109/TUFFC.2005.1563266,Older work establishing which metrics to take into consideration regarding input sensitivity.,TUFFC2005,TIA,0.04,
6,ELG Lab./SCIS Stanford Uni.,IOWygantTUFFC2009,1.5µm HVCMOS,CMUT,5.0,1500nm,250,TIA,No,2.0,Yes,,112dB\Ohmega,,,1,,4.4,25.0,0.28,,0.9,,40.0,9.0,,https://doi.org/10.1109/TUFFC.2009.1297,Old technology with base work for CMUT-on-CMOS flip-chip bonding procedures using solder bumps implanted on the top metal surface.,TUFFC2009,TIA,,44.43697499232713
7,CICS-MIT,KChenJSSC2013,180nm HVCMOS,CMUT,1.8,180nm,300,TIA,Yes,40.0,Yes,,96.6,,1,1,,3.0,5.4,,9.21,0.55,47,40.0,14.3,0.0825,https://doi.org/10.1109/JSSC.2013.2274895,Very interesting charge-pump DC-DC converter for HV rect wave generation.,JSSC2013,TIA,0.0825,35.77057722357907
8,DIII-Pavia Uni. Italy,MSauttoESSCIRC2014,180nm BCD-SOI,CMUT,1.8,180nm,,TIA,No,5.0,Yes,CMUT-bias,14.2,14.2,,,,10.0,39.5,,21.2,0.55,20,40.0,1.0,0.030,https://doi.org/10.1109/ESSCIRC.2014.6942108,Defines a linearized approximation of the transducers sensitivity and establishes a direct translation between the received pressure and the output voltage of the US transducer.,ESSCIRC2014,TIA,0.03,55.9659709562646
9,EI-TUDelft,CChenESSCIRC2015,180nm CMOS-BCD,BULK,1.8,180nm,200,CL-VA,Yes,~3.5,Yes,Discrete,24,36,,3,18,4.0,9.8,,5.9,0.6,45.0,50.0,0.135,0.01,https://doi.org/10.1109/ESSCIRC.2015.7313913,Very important base work defining the importance of the PSRR parameter to be similar to the input referred noise figure.,ESSCIRC2015,CL-VA,0.01,68.60892307197489
10,MITUS-TUD,DDias2025,28nm TSMC CMOS,BULK,1.8,150nm,,OL-VA,No,1.4,No,Discrete,25,23,1,5,4.5,2.0,25.0,,5.2,,54,,0.55,0.008,,,,OL-VA,0.008,
11,KAIST-Samsung,JLeeJSSC2021,180nm 1P6M CMOS ,PMUT,1.5,180nm,250,OL-VA,Yes,15.4,Yes,Discrete,19,19,,2,1,5.0,13.0,,19.3,,,57.9,0.1615,0.017,https://doi.org/10.1109/JSSC.2021.3049560,Open Loop VA with 4-gain step PGA ,JSSC2021,OL-VA,0.017,76.95770825639715
12,EI-TUDelft,EKangJSSC2018,180nm CMOS-BCD,BULK,1.8,180nm,150,CL-VA,No,,Yes,Discrete,19,19,,2,1,7.5,20.0,,7.9,4.2,,40.0,1.42,0.12,https://doi.org/10.1109/JSSC.2018.2820156,"Closed Loop (cap) folded cascode LNA with single gain step through I/O shorting switch, coupled to Coax driver. Lack of PSRR measures directly the imapct of LNA array noise on IRN, measuring almost double the expected noise",JSSC2018,CL-VA,0.12,51.48741651280925
13,CTI-Hitachi,YIgarashiJSSC2019,180nm HV SOI CMOS,BULK,1.8,180nm,300,OL-VA,Yes,,Yes,Discrete,6.3,6.3,,2,1,2.0,5.0,,1.97,,,55.0,0.74,0.13,https://doi.org/10.1109/JSSC.2019.2921697,"Open Loop differential pair with a pseudo-differential source follower stage, single to differential ended LNA",JSSC2019,OL-VA,0.13,63.297382846050425
14,EEC-Georgia Tech.,GJungTBCAS2018,180nm CMOS BCD,BULK,1.8,180nm,500,CL-VA,Yes,15,Yes,Discrete,32,17,0.2,4,6,7.0,11.0,,5.0,,,36.7,0.7,0.13,https://doi.org/10.1109/TBCAS.2018.2881909,"Closed Loop diff pair + CS output stage, resistive closed loop non-inverting amplifier, uses buffered TDM to allow raw RF data access.",TBCAS2018,CL-VA,0.13,48.66294645143969
15,EEC-Georgia Tech.,JLimJSSC2020,180nm CMOS BCD,CMUT,5.0,180nm,25,TIA,No,2.0,Yes,Discrete,49.6dB\Ohmega,49.6,2,1,0,40.0,10.0,0.18,47.0,,55,36.0,0.79,0.093,https://doi.org/10.1109/JSSC.2020.2967551,"CMUT-BSimulator Based Impedance  Calculator for feeding the TIA Optimization Loop, Coupling Matlab to Cadence Virtuoso, Simulation, Evaluation and Image Reconstruction metrics and experimental setup reference paper",JSSC2020,TIA,0.093,47.02372908709559
16,KAIST-Samsung,KJeongJSSC2023,180nm CMOS BCD,BULK,20.0,180nm,,OL-VA,No,,Yes,Discrete,34.2,15.7,,4,,20.0,31.0,,7.0,,,54.0,0.16,0.2,https://doi.org/10.1109/JSSC.2023.3276130,"Rotating Single PZT Transducer insie Cabsule, High Frequency US Imaging relaxed using A/M-modes with On-chip Envelope Detector",JSSC2023,OL-VA,0.2,76.87241711178348
17,"Robert-Bosch, Standford Uni.",MChanJSSC2017,28nm FDSOI CMOS,CMUT,1.0,28nm,250,TIA,Yes,,Yes,Discrete,90dB\Ohmega,24.0,0.334dB\Ohmega,6,4.0,5.0,10.0,,,,,60.0,3.87,0.01,https://doi.org/10.1109/JSSC.2017.2749425,"3 stage LNA-LPF-PGA based on inverter-based amplifiers and ring amplifiers, beamforming in the digital domain",JSSC2017,TIA,0.01,64.12289034981089
18,EI-TUDelft,PGuoJSSC2024,180nm CMOS BCD,BULK,1.8,180nm,125,TIA,Yes,1.0,Yes,Interpolating,110dB\Ohmega,36.0,0.4,,,9.0,14.3,0.7,,,,50.7,0.791,0.0334,https://doi.org/10.1109/JSSC.2024.3355854,"Capacitive Feedback TIA coupled to a PZT, due to the PZT output impedance magnitude being above the 10k\Ohmega - 2x2 microbeamforming + sub array charge sharing ADC + digital TDM + 16-PAM DTX",JSSC2024,TIA,0.0334,63.271595539673854
19,EED-TUEindhoven,MZhouJSSC2021,40nm CMOS,CMUT,1.2,40nm,102,TIA,Yes,25,Yes,Discrete,90.1db\Ohmega,12.04,,3,6.0,7.0,15.0,3.10,,,25.4,36.3,0.6,0.0125,https://doi.org/10.1109/TBCAS.2021.3135859,Reference TIA implementation with noise figure derivation and comparison between TIA architectures,JSSC2021,TIA,0.0125,50.27940008672037
20,NUST-South Korea,ABanuajiTCSII2014,180nm CMOS,CMUT,1.1,180nm,,TIA,,,Yes,,95.1dB\Ohmega,,,,,2.6,12.0,3.5,,,,40.0,0.4202,0.15,https://doi.org/10.1109/TCSII.2014.2327455,Standard CMOS implementation of HV pulser using stacked devices and dynamic biasing,TCSII2014,TIA,0.15,54.55725197977691
21,EEC-British Columbia Uni. CA,PBehnamfarTBCAS2015,250nm HV CMOS,CMUT,3.3,350nm,,TIA,,,Yes,,111.0dB\Ohmega,,,,,1.38,5.5,0.448,,,,45.0,1.05,0.08,https://doi.org/10.1109/TBCAS.2015.2406777,,TBCAS2015,TIA,0.08,52.19173390424306
22,EEC-Georgia Tech.,ARezanitabarTBCAS2022,180nm CMOS BCD,CMUT,1.8,180nm,150,TIA,Yes,15.0,Yes,Discrete,32.0,17.0,0.2,4,6.0,5.0,12.0,,8.6,,,35.0,0.372,0.0105,https://doi.org/10.1109/TBCAS.2022.3205024,First paper providing a reference microbeamforming + TDM implementation for massive radout reduction,TBCAS2022,TIA,0.0105,50.08638306165727
23,BioEng. UCL,GPeytonTBCAS2018,350nm CMOS,BULK,3.3,350nm,,OL-VA,No,,Yes,Continuous,32.0,0.0,6.0,,,2.5,6.6,,5.42,,,50.0,0.9,0.034,https://doi.org/10.1109/TBCAS.2018.2836915,Reference paper for implementing the testing setup,TBCAS2018,OL-VA,0.034,58.65301426102544
24,EEC-Georgia Tech.,MRashidULTSYM2014,350nm CMOS,CMUT,3.3,350nm,,TIA,No,,Yes,,82.0dB\Ohmega,,,,,10.0,20.0,16.0,,,,40.0,0.551,0.0077,https://doi.org/10.1109/ULTSYM.2014.0381,Quadrature FDM Simulated Results from Post Layout netlist,ULTSYM2014,TIA,0.0077,55.598783968121964
